Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DFMF,Crystal Palace,25,1990,11,8,714,7.9,0.25,0.00,0.25,0.25,0.00,0.00,0.13,0.00,0.25,0.00,0.25,0.25,0.25,Matches,5f09991f
2,Patrick van Aanholt,nl NED,DFMF,Sunderland,25,1990,21,20,1784,19.8,0.15,0.05,0.20,0.15,0.00,0.00,0.10,0.00,0.15,0.05,0.20,0.15,0.20,Matches,5f09991f
3,Charlie Adam,sct SCO,MF,Stoke City,30,1985,24,17,1517,16.9,0.06,0.18,0.24,0.00,0.06,0.06,0.41,0.00,0.06,0.18,0.24,0.00,0.18,Matches,aff418dc
4,Albert Adomah,gh GHA,MF,Middlesbrough,28,1987,2,1,122,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c7174e81
5,Adrián,es ESP,GK,West Ham,29,1987,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
6,Ibrahim Afellay,nl NED,MF,Stoke City,30,1986,12,3,384,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9a8c6673
7,Benik Afobe,cd COD,FW,Bournemouth,23,1993,31,14,1461,16.2,0.37,0.19,0.56,0.37,0.00,0.06,0.06,0.00,0.37,0.18,0.55,0.37,0.55,Matches,b63f4077
8,Sergio Agüero,ar ARG,FW,Manchester City,28,1988,31,25,2403,26.7,0.75,0.15,0.90,0.60,0.15,0.19,0.15,0.04,0.75,0.15,0.90,0.60,0.75,Matches,4d034881
9,Dan Agyei,eng ENG,FWMF,Burnley,19,1997,3,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5c374509
10,Ola Aina,ng NGA,DFMF,Chelsea,19,1996,3,0,26,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,246d153b
11,Nathan Aké,nl NED,DF,Bournemouth,21,1995,10,8,735,8.2,0.37,0.00,0.37,0.37,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Matches,eaeca114
