Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,0.11,0.07,0.18,0.07,0.04,0.04,0.00,0.00,0.08,0.05,0.13,0.18,2.15,5.13,3.19,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18,Matches,5f09991f
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36,36,3240,36.0,0.00,0.03,0.03,0.00,0.00,0.00,0.19,0.00,0.02,0.02,0.11,0.13,2.56,2.17,4.19,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12,Matches,774cf58b
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,34,25,2215,24.6,0.61,0.12,0.73,0.61,0.00,0.00,0.08,0.00,0.67,0.67,0.11,0.77,1.26,1.38,5.45,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,Matches,f586779e
4,Che Adams,sct SCO,FW,Southampton,23,1996,30,12,1111,12.3,0.33,0.16,0.49,0.33,0.00,0.00,0.00,0.00,0.43,0.43,0.14,0.57,1.63,1.30,7.07,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57,Matches,f2bf1b0f
5,Adrián,es ESP,GK,Liverpool,32,1987,11,9,875,9.7,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,24,18,1452,16.1,0.99,0.19,1.18,0.87,0.12,0.19,0.06,0.00,0.90,0.75,0.14,0.89,2.17,2.11,6.52,0.99,0.19,1.18,0.87,1.05,0.90,0.14,1.04,0.75,0.89,Matches,4d034881
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,9,0,139,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.07,0.13,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16,Matches,2b1c4abd
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,29,29,2503,27.8,0.07,0.07,0.14,0.07,0.00,0.00,0.07,0.00,0.11,0.11,0.08,0.18,0.43,2.91,0.25,0.07,0.07,0.14,0.07,0.14,0.11,0.08,0.18,0.11,0.18,Matches,eaeca114
9,Marc Albrighton,eng ENG,MFDF,Leicester City,29,1989,20,9,867,9.6,0.00,0.31,0.31,0.00,0.00,0.00,0.21,0.00,0.04,0.04,0.23,0.27,2.08,4.69,9.79,0.00,0.31,0.31,0.00,0.31,0.04,0.22,0.27,0.04,0.27,Matches,b827d5b3
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,33,33,2957,32.9,0.06,0.06,0.12,0.06,0.00,0.00,0.21,0.00,0.02,0.02,0.04,0.06,0.33,2.92,0.30,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06,Matches,f7d50789
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,38,35,3175,35.3,0.11,0.37,0.48,0.11,0.00,0.00,0.14,0.00,0.08,0.08,0.31,0.39,2.78,7.00,6.40,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,Matches,cd1acf9d
12,Alisson,br BRA,GK,Liverpool,26,1992,29,29,2543,28.3,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.01,0.00,0.04,0.00,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
13,Dele Alli,eng ENG,MFFW,Tottenham,23,1996,25,21,1847,20.5,0.39,0.20,0.59,0.34,0.05,0.05,0.10,0.00,0.40,0.36,0.17,0.53,2.73,3.37,7.41,0.39,0.19,0.58,0.34,0.54,0.40,0.17,0.56,0.36,0.53,Matches,cea4ee8f
14,Miguel Almirón,py PAR,MFFW,Newcastle Utd,25,1994,36,35,3021,33.6,0.12,0.06,0.18,0.12,0.00,0.00,0.15,0.00,0.20,0.20,0.09,0.29,3.57,2.29,4.76,0.12,0.06,0.18,0.12,0.18,0.20,0.09,0.29,0.20,0.29,Matches,862a1c15
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,1430,15.9,0.25,0.13,0.38,0.25,0.00,0.00,0.25,0.00,0.16,0.16,0.16,0.33,3.90,4.34,9.75,0.25,0.13,0.38,0.25,0.38,0.16,0.17,0.33,0.16,0.33,Matches,f4290206
16,Steven Alzate,co COL,MFDF,Brighton,20,1998,19,12,1188,13.2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.09,0.05,0.15,2.58,5.00,6.97,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.15,0.09,0.15,Matches,ad1f61f3
17,Ibrahim Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,759,8.4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.10,0.10,0.00,0.10,0.48,1.55,0.12,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.10,0.09,0.10,Matches,9260926b
18,Felipe Anderson,br BRA,MFFW,West Ham,26,1993,25,20,1497,16.6,0.06,0.24,0.30,0.06,0.00,0.00,0.06,0.00,0.15,0.15,0.19,0.34,6.39,6.02,7.95,0.06,0.24,0.30,0.06,0.30,0.15,0.18,0.34,0.15,0.34,Matches,9f1893b9
19,Florin Andone,ro ROU,FW,Brighton,26,1993,3,1,73,0.8,1.25,0.00,1.25,1.25,0.00,0.00,0.00,1.25,0.50,0.50,0.13,0.50,2.50,0.00,5.00,1.23,0.00,1.23,1.23,1.23,0.45,0.06,0.51,0.45,0.51,Matches,dc008610
20,Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.04,0.04,0.32,0.36,4.47,8.72,14.9,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.36,0.05,0.36,Matches,30941e96
21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,b105919e
22,Michail Antonio,jm JAM,FW,West Ham,29,1990,24,19,1768,19.6,0.51,0.15,0.66,0.46,0.05,0.05,0.15,0.00,0.66,0.62,0.19,0.81,2.70,1.99,9.08,0.51,0.15,0.66,0.46,0.61,0.66,0.19,0.85,0.62,0.81,Matches,ac05f970
23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,30,19,1715,19.1,0.26,0.16,0.42,0.26,0.00,0.00,0.21,0.00,0.15,0.15,0.10,0.25,2.36,3.72,5.29,0.26,0.16,0.42,0.26,0.42,0.15,0.10,0.25,0.15,0.25,Matches,97333cf5
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
25,Christian Atsu,gh GHA,MFFW,Newcastle Utd,27,1992,19,6,749,8.3,0.00,0.36,0.36,0.00,0.00,0.00,0.24,0.00,0.02,0.02,0.16,0.18,3.49,1.93,2.65,0.00,0.36,0.36,0.00,0.36,0.03,0.15,0.18,0.03,0.18,Matches,8816329f
